n,algorithm,loops,ms_per_call,speedup,gflops
256,naive,256,0.106595703,1.000000000,1.229618044
256,cache_opt,256,0.004232031,25.187834597,30.971415916
256,cache_unroll4,256,0.004116797,25.892874094,31.838345203
256,transpose_4acc,256,0.019469141,5.475110853,6.732295100
512,naive,256,0.928530078,1.000000000,0.564642990
512,cache_opt,256,0.019882812,46.700137526,26.368905305
512,cache_unroll4,256,0.019669141,47.207455368,26.655358769
512,transpose_4acc,256,0.083584375,11.108895391,6.272559914
1024,naive,64,3.805678125,1.000000000,0.551058689
1024,cache_opt,256,0.135846875,28.014469417,15.437616802
1024,cache_unroll4,256,0.125788281,30.254631729,16.672077710
1024,transpose_4acc,256,0.306930859,12.399138141,6.832652814
2048,naive,16,19.907056250,1.000000000,0.421388672
2048,cache_opt,256,1.253799219,15.877387665,6.690551306
2048,cache_unroll4,256,1.229367188,16.192929543,6.823517079
2048,transpose_4acc,128,1.826557813,10.898672965,4.592577329
3072,naive,4,49.872225000,1.000000000,0.378454500
3072,cache_opt,64,3.334078125,14.958325249,5.661045510
3072,cache_unroll4,64,3.460195313,14.413124259,5.454711742
3072,transpose_4acc,64,4.614410938,10.807928829,4.090309306
