n,algorithm,loops,us_per_call,ns_per_elem,speedup,gadds
32768,naive,8192,19.659509277,0.599960610,1.000000000,1.666776090
32768,superscalar_2way,8192,9.935021973,0.303192809,1.978808837,3.298231256
32768,unroll4,8192,4.945141601,0.150913745,3.975519987,6.626301660
32768,unroll8,8192,2.485058594,0.075837970,7.911084803,13.186006994
262144,naive,2048,156.859814453,0.598372705,1.000000000,1.671199223
262144,superscalar_2way,4096,78.736645507,0.300356466,1.992208500,3.329377297
262144,unroll4,8192,39.410070801,0.150337489,3.980196210,6.651700813
262144,unroll8,8192,19.930651855,0.076029403,7.870280189,13.152806135
2097152,naive,256,1219.683984375,0.581590645,1.000000000,1.719422430
2097152,superscalar_2way,512,649.861328126,0.309878029,1.876837306,3.227076161
2097152,unroll4,512,359.054882811,0.171210710,3.396929112,5.840756108
2097152,unroll8,1024,241.828417968,0.115312776,5.043592455,8.672065995
16777216,naive,32,10574.324999994,0.630278885,1.000000000,1.586599239
16777216,superscalar_2way,32,5480.540624994,0.326665677,1.929431004,3.061233763
16777216,unroll4,64,5038.439062511,0.300314371,2.098730355,3.329843984
16777216,unroll8,64,5197.842187510,0.309815537,2.034368228,3.227727083
