n,working_set_bytes,working_set_class,algorithm,loops,ms_per_call,gflops,speedup,max_diff
256,528384,L1<LWS<=L2,naive,256,0.105625781,1.240909165,1.000000000,0.000000000
256,528384,L1<LWS<=L2,cache_opt,256,0.005046875,25.970922603,20.928947370,0.000000000
512,2105344,L2<LWS<=L3,naive,256,0.864166406,0.606697965,1.000000000,0.000000000
512,2105344,L2<LWS<=L3,cache_opt,256,0.021314063,24.598220072,40.544424895,0.000000000
1024,8404992,L2<LWS<=L3,naive,64,3.795757812,0.552498896,1.000000000,0.000000000
1024,8404992,L2<LWS<=L3,cache_opt,256,0.074601562,28.111368311,50.880406326,0.000000000
2048,33587200,>L3,naive,16,18.756300000,0.447242153,1.000000000,0.000000000
2048,33587200,>L3,cache_opt,256,0.927851562,9.040894405,20.214763609,0.000000000
3072,75546624,>L3,naive,4,46.006100000,0.410257944,1.000000000,0.000000000
3072,75546624,>L3,cache_opt,128,2.618688281,7.207565763,17.568375866,0.000000000
