n,working_set_bytes,working_set_class,algorithm,loops,ms_per_call,gflops,speedup,max_diff
256,528384,L1<LWS<=L2,naive,256,0.106471875,1.231048105,1.000000000,0.000000000
256,528384,L1<LWS<=L2,cache_opt,256,0.005312500,24.672376473,20.041764708,0.000000000
512,2105344,L2<LWS<=L3,naive,256,0.923726953,0.567578978,1.000000000,0.000000000
512,2105344,L2<LWS<=L3,cache_opt,256,0.022715625,23.080500756,40.664826661,0.000000000
1024,8404992,L2<LWS<=L3,naive,64,3.779440625,0.554884230,1.000000000,0.000000000
1024,8404992,L2<LWS<=L3,cache_opt,256,0.093764844,22.366080037,40.307651288,0.000000000
2048,33587200,>L3,naive,16,20.166493750,0.415967600,1.000000000,0.000000000
2048,33587200,>L3,cache_opt,256,1.211054688,6.926696281,16.652009160,0.000000000
3072,75546624,>L3,naive,4,49.386075000,0.382179957,1.000000000,0.000000000
3072,75546624,>L3,cache_opt,64,3.565418750,5.293731066,13.851409459,0.000000000
