n,working_set_bytes,working_set_class,algorithm,loops,us_per_call,ns_per_elem,gadds,speedup,abs_err
32768,262144,L1<LWS<=L2,naive,8192,19.057653809,0.581593439,1.719414170,1.000000000,0.000000000
32768,262144,L1<LWS<=L2,superscalar_2way,8192,9.528393555,0.290783495,3.438984737,2.000090960,0.000000000
32768,262144,L1<LWS<=L2,recursive,4096,62.433569336,1.905321330,0.524845854,0.305246905,0.000000000
262144,2097152,L2<LWS<=L3,naive,2048,155.298486328,0.592416711,1.688000999,1.000000000,0.000000000
262144,2097152,L2<LWS<=L3,superscalar_2way,4096,77.227221680,0.294598471,3.394450743,2.010929345,0.000000000
262144,2097152,L2<LWS<=L3,recursive,512,502.270507813,1.916009933,0.521917962,0.309192923,0.000000000
2097152,16777216,L2<LWS<=L3,naive,256,1251.203515623,0.596620329,1.676107822,1.000000000,0.000000000
2097152,16777216,L2<LWS<=L3,superscalar_2way,512,634.168359375,0.302395038,3.306932566,1.972983195,0.000000000
2097152,16777216,L2<LWS<=L3,recursive,64,3997.151562500,1.905990392,0.524661616,0.313023786,0.000000000
16777216,134217728,>L3,naive,32,9924.156249996,0.591525808,1.690543314,1.000000000,0.000000000
16777216,134217728,>L3,superscalar_2way,64,5451.557812499,0.324938167,3.077508591,1.820425756,0.000000007
16777216,134217728,>L3,recursive,8,31964.487500023,1.905231923,0.524870483,0.310474437,0.000000004
