n,working_set_bytes,working_set_class,algorithm,loops,us_per_call,ns_per_elem,gadds,speedup,abs_err
32768,262144,L1<LWS<=L2,naive,8192,18.302929687,0.558561087,1.790314477,1.000000000,0.000000000
32768,262144,L1<LWS<=L2,superscalar_2way,8192,9.112817383,0.278101116,3.595814403,2.008482001,0.000000000
32768,262144,L1<LWS<=L2,recursive,4096,59.133154297,1.804600656,0.554139220,0.309520605,0.000000000
262144,2097152,L2<LWS<=L3,naive,2048,146.165185547,0.557575934,1.793477695,1.000000000,0.000000000
262144,2097152,L2<LWS<=L3,superscalar_2way,4096,73.479931641,0.280303694,3.567559116,1.989185105,0.000000000
262144,2097152,L2<LWS<=L3,recursive,512,484.993945312,1.850105077,0.540509840,0.301375279,0.000000000
2097152,16777216,L2<LWS<=L3,naive,256,1167.281250000,0.556603074,1.796612427,1.000000000,0.000000000
2097152,16777216,L2<LWS<=L3,superscalar_2way,512,588.166015625,0.280459411,3.565578330,1.984611860,0.000000000
2097152,16777216,L2<LWS<=L3,recursive,64,3865.795312500,1.843354851,0.542489147,0.301951127,0.000000000
16777216,134217728,>L3,naive,32,9685.331250002,0.577290729,1.732229447,1.000000000,0.000000000
16777216,134217728,>L3,superscalar_2way,64,4953.870312500,0.295273680,3.386688577,1.955103917,0.000000007
16777216,134217728,>L3,recursive,8,31378.049999999,1.870277524,0.534680007,0.308665811,0.000000004
